release_year,budget_adj
1965,796
1962,908
1967,1307
1966,127642
1962,216253
1960,221189
1965,311425
1967,424890
1962,446924
1964,456967
1963,473492
1966,503851
1968,714662
1969,1040246
1961,1458972
1960,1474593
1968,1723965
1960,1990701
1965,2076169
1966,2116175
1969,2139935
1964,3515134
1962,3604224
1967,4183529
1966,4702610
1963,5340135
1964,5504699
1960,5529726
1960,5949601
1968,5955515
1967,6190315
1962,7064280
1963,7120179
1963,7120179
1969,7430330
1962,7929294
1964,8436321
1969,8916396
1966,9256081
1968,9403445
1965,10380846
1961,10942292
1968,11284135
1968,11284135
1964,12654481
1967,13073527
1962,14416898
1962,14416898
1961,14589722
1960,14745935
1964,15010753
1962,15858588
1967,16341909
1963,17800448
1963,17800448
1961,18237153
1962,19102390
1967,19610291
1967,19610291
1968,20060684
1966,20154044
1964,21090802
1961,21155098
1969,21399351
1961,21884584
1961,21884584
1960,22118902
1960,22118902
1967,22878673
1967,22878673
1962,23067036
1969,23777057
1964,24605936
1964,24605936
1967,26147055
1967,26147055
1967,26147055
1965,26298142
1968,26956544
1963,28480717
1963,28480717
1961,29179445
1961,29179445
1966,31258922
1966,32246471
1967,32683819
1966,34362645
1968,34479300
1969,35665585
1968,36359989
1961,36744216
1969,37116503
1965,38755157
1965,39862447
1969,41609849
1964,42181604
1961,43769167
1961,43769167
1961,43769167
1968,43882745
1968,48271020
1966,50385110
1965,56748622
1967,62099256
1968,62689636
1968,62689636
1963,66929686
1969,71331170
1962,72084489
1968,75227563
1965,76126201
1967,78441165
1966,80616176
1960,88475609
1965,96887892
1962,108126733
1962,108126733
1967,117661747
1964,119514546
1966,120924265
1963,121043049
1965,138411274
1967,163419094
1963,221544381
