release_year,budget_adj
2010,425000000
2011,368371256
2007,315500575
2006,292050673
2007,271330494
2010,260000000
2015,257599887
2009,254100109
2010,250000000
2012,246933513
2009,240886903
2013,238688505
2012,237436070
2012,237436070
2013,234008338
2014,230272763
2014,230272763
2008,227876993
2006,227150523
2015,225399901
2006,216333832
2012,213692463
2013,210607504
2012,208943742
2012,204195021
2009,203280087
2009,203280087
2009,203280087
2008,202557327
2010,200000000
2010,200000000
2010,200000000
2010,200000000
2012,198496555
2011,193879609
2011,193879609
2014,193429121
2012,189948856
2007,189300345
2011,189032618
2008,187365527
2008,187365527
2013,187206671
2013,187206671
2013,187206671
2013,187206671
2014,184218210
2007,184042002
2015,183999919
2013,182526504
2008,182301594
2009,177870076
2009,177870076
2009,177870076
2013,177846337
2012,175702692
2015,174799923
2015,174799923
2006,173067065
2010,170000000
2013,168486004
2007,168266973
2014,165796389
2010,165000000
2010,165000000
2011,164797667
2014,163954207
2013,163805837
2006,162250374
2006,162250374
2015,161919932
2012,161456528
2006,161168705
2015,160999929
2015,160999929
2010,160000000
2013,159125670
2011,158011881
2007,157750287
2007,157750287
2007,157750287
2007,157750287
2007,157750287
2007,157750287
2012,156707806
2014,156585479
2014,156585479
2014,156585479
2011,155103687
2010,155000000
2009,152460065
2009,152460065
2009,152460065
2009,152460065
2009,152460065
2009,152460065
2014,151980023
2014,151980023
2008,151917995
2008,151917995
2008,151917995
2008,151917995
2008,151917995
2010,150000000
2010,150000000
2010,150000000
2010,150000000
2013,149765336
2014,147374568
2007,147233602
2015,147199935
2008,146854062
2006,146025336
2011,145409706
2011,145409706
2011,145409706
2015,142599937
2012,142461642
2012,142461642
2008,141790129
2011,140562716
2013,140405003
2013,140405003
2015,137999939
2015,137999939
2015,137999939
2015,137999939
2012,137712921
2012,137712921
2007,136716916
2007,136716916
2011,135715726
2006,135208645
2014,133558202
2014,133558202
2009,132132056
2008,131662262
2008,131662262
2011,130868736
2010,130000000
2006,129800299
2014,128952747
2013,126364503
2013,126364503
2011,126021746
2011,126021746
2011,126021746
2010,125000000
2015,124199945
2015,124199945
2012,123466757
2012,123466757
2013,121684336
2013,121684336
2013,121684336
2013,121684336
2014,121584019
2008,121534396
2011,121174755
2011,121174755
2011,121174755
2010,120000000
2010,120000000
2014,119741837
2015,119599947
2006,118983607
2012,118718035
2010,117000000
2014,116978563
2011,116327765
2007,115683544
2007,115683544
2014,115136381
2014,115136381
2014,115136381
2012,113969314
2012,113969314
2013,112324002
2013,112324002
2010,112000000
2014,110530926
2015,110399952
2010,110000000
2010,110000000
2006,108166916
2006,108166916
2006,108166916
2013,107643836
2009,106722046
2011,106633785
2011,106633785
2011,106633785
2008,106342597
2007,105166858
2007,105166858
2010,104002432
2013,102963669
2009,101640043
2009,101640043
2009,101640043
2009,101640043
2009,101640043
2014,101320016
2015,101199956
2015,101199956
2010,100000000
2010,100000000
2010,100000000
2010,100000000
2010,100000000
2010,100000000
2015,99359956
2013,98283502
2013,98283502
2013,98283502
2006,97350224
2006,97350224
2012,96873917
2015,96599958
2013,96411435
2010,95000000
2012,94974428
2012,94974428
2014,94872378
2013,93603335
2013,93603335
2008,93176370
2014,92109105
2014,92109105
2015,91999960
2006,91941878
2006,91941878
2006,91941878
2006,91941878
2006,91941878
2009,91476039
2009,91476039
2008,91150797
2008,91150797
2015,91079960
2007,90443498
2012,90225707
2011,90154018
2010,90000000
2007,89391830
2007,89391830
2007,89391830
2007,89391830
2006,89237706
2009,88426838
2014,87503650
2015,87399962
2011,87245824
2011,87245824
2011,87245824
2006,86533533
2006,86533533
2006,86533533
2009,86394037
2009,86394037
2013,86115068
2008,86086864
2008,86086864
2008,86086864
2010,85000000
2013,84243002
2013,84243002
2007,84133487
2014,82898195
2015,82799964
2006,82206856
2009,81312035
2009,81312035
2009,81312035
2006,81125187
2006,81125187
2006,81125187
2008,81022931
2008,81022931
2008,81022931
2008,81022931
2008,81022931
2015,80959964
2012,80728264
2012,80728264
2012,80728264
2010,80000000
2010,80000000
2010,80000000
2010,80000000
2010,80000000
2010,80000000
2010,80000000
2011,79490639
2009,79428291
2007,78875144
2007,78875144
2013,78626802
2006,78421014
2014,78292739
2013,77690768
2011,77551843
2011,77551843
2011,77551843
2011,76582445
2009,76230033
2009,76230033
2008,75958998
2008,75958998
2006,75716841
2006,75716841
2006,75716841
2012,75029798
2010,75000000
2013,74882668
2013,74882668
2015,74519967
2007,73616801
2007,73616801
2007,73616801
2007,73616801
2007,73616801
2007,73616801
2015,73599968
2013,73010602
2011,72704853
2011,72704853
2011,72704853
2011,72704853
2012,71230821
2012,71230821
2009,71148030
2009,71148030
2009,71148030
2009,71148030
2013,71138535
2008,70895064
2008,70895064
2008,70895064
2008,70895064
2007,70461795
2007,70461795
2006,70308495
2013,70202501
2010,70000000
2006,69226826
2010,69000000
2010,69000000
2015,68999970
2007,68358458
2007,68358458
2006,68145157
2015,68079970
2015,68079970
2010,68000000
2011,67857863
2011,67857863
2012,66482100
2012,66482100
2012,66482100
2009,66066028
2009,66066028
2008,65831131
2008,65831131
2012,65532355
2013,65522335
2013,65522335
2010,65000000
2010,65000000
2006,64900150
2006,64900150
2012,64582611
2014,64476374
2014,64476374
2014,64476374
2015,64399972
2007,64151784
2011,63980271
2011,63980271
2007,63936191
2007,63100115
2007,63100115
2007,63100115
2007,63100115
2007,63100115
2007,63100115
2008,62792771
2014,62634191
2015,62559972
2012,61733378
2012,61733378
2012,61733378
2012,61733378
2012,61733378
2012,61733378
2011,61072077
2009,60984026
2009,60984026
2009,60984026
2009,60984026
2009,60984026
2009,60984026
2014,60792009
2008,60767198
2008,60767198
2008,60767198
2008,60767198
2008,60767198
2008,60767198
2008,60767198
2010,60000000
2010,60000000
2010,60000000
2014,59870918
2014,59870918
2014,59870918
2014,59870918
2015,59799974
2006,59491804
2006,59491804
2006,59491804
2009,58951225
2015,58879974
2006,58410135
2011,58163883
2011,58163883
2010,58000000
2012,57934401
2012,57934401
2007,57841772
2013,57098035
2012,56984657
2012,56984657
2012,56984657
2012,56984657
2006,56246796
2014,56186554
2013,56162001
2013,56162001
2013,56162001
2015,56119975
2009,55902024
2007,55738435
2008,55703265
2008,55703265
2008,55703265
2008,55703265
2014,55265463
2014,55265463
2014,55265463
2014,55265463
2011,55255688
2015,55199976
2015,55199976
2015,55199976
2006,55165127
2012,55085168
2010,55000000
2010,55000000
2013,54289934
2011,54286290
2007,54160932
2014,54160154
2006,54083458
2006,54083458
2006,54083458
2006,54083458
2006,54083458
2006,54083458
2006,54083458
2006,54083458
2006,54083458
2006,54083458
2009,53869223
2015,53359977
2011,53316892
2008,52664905
2007,52583429
2007,52583429
2007,52583429
2007,52583429
2013,52417868
2010,52000000
2010,52000000
2013,51481834
2013,51481834
2013,51481834
2009,50820022
2009,50820022
2009,50820022
2009,50820022
2009,50820022
2009,50820022
2009,50820022
2014,50660008
2014,50660008
2008,50639332
2008,50639332
2015,50599978
2015,50599978
2011,50408698
2010,50000000
2010,50000000
2010,50000000
2015,48759979
2006,48675112
2006,48675112
2006,48675112
2006,48675112
2011,48663782
2008,48613758
2011,48469902
2011,48469902
2011,48469902
2011,48469902
2011,48469902
2011,48469902
2011,48469902
2011,48372962
2010,48000000
2009,47770820
2012,47487214
2012,47487214
2012,47487214
2007,47325086
2007,47325086
2007,47325086
2007,47325086
2007,47325086
