release_year,revenue_adj
1960,36164405
1960,44237805
1960,52348069
1960,73729675
1960,184324186
1960,235934959
1960,442378047
1961,14589722
1961,29179445
1961,31367903
1961,36474306
1961,69301181
1961,72948612
1961,105654043
1961,210821489
1961,318470457
1961,1574814740
1962,9010561
1962,18021122
1962,22346192
1962,57667591
1962,57667591
1962,94645824
1962,360422444
1962,429623553
1962,504591422
1963,35600897
1963,71201794
1963,77454073
1963,81195172
1963,95941484
1963,411190359
1963,561773359
1964,7034127
1964,49211872
1964,66367637
1964,84363209
1964,86951992
1964,506179254
1964,719004620
1964,878080400
1965,83046764
1965,207270883
1965,773178594
1965,977153545
1965,1129534862
1966,40308088
1966,80616176
1966,87334191
1966,134360294
1966,226643572
1967,13073527
1967,39220582
1967,58830874
1967,71904401
1967,106011751
1967,178976447
1967,272875359
1967,296115397
1967,326838187
1967,331413922
1967,370416614
1967,682419191
1967,729403390
1967,1345551059
1968,3134482
1968,5107112
1968,19496477
1968,42628953
1968,68958600
1968,105318589
1968,131648236
1968,209354711
1968,209354711
1968,243870320
1968,265182634
1968,355546597
1969,3796251
1969,84705765
1969,266214187
1969,487278044
1969,608151066
