release_year,revenue_adj
2006,156
2006,7790
2006,74782
2006,155167
2006,176312
2006,178475
2006,217713
2006,227289
2006,265009
2006,324501
2006,326858
2006,405348
2006,413486
2006,461033
2006,519541
2006,535754
2006,558292
2006,627938
2006,673670
2006,806197
2006,902606
2006,918397
2006,1220496
2006,1245358
2006,1294008
2006,1494504
2006,1812319
2006,1815986
2006,2210612
2006,2247452
2006,2467384
2006,2481664
2006,3344437
2006,3610858
2006,3969147
2006,4146586
2006,4642486
2006,5008177
2006,5350179
2006,5602005
2006,5928624
2006,5994638
2006,6002398
2006,6397974
2006,6583588
2006,7072144
2006,7247183
2006,7306565
2006,7763294
2006,7911357
2006,7988596
2006,8545186
2006,8717323
2006,8844315
2006,9707796
2006,10219699
2006,10222744
2006,10275857
2006,11009587
2006,11794354
2006,12039939
2006,12331028
2006,12384720
2006,12733908
2006,12971392
2006,13527558
2006,14086314
2006,14460226
2006,14496478
2006,14500419
2006,15852541
2006,16554827
2006,16559600
2006,17478137
2006,17985116
2006,18176101
2006,18925957
2006,19253711
2006,19261898
2006,20495927
2006,20746381
2006,21783558
2006,22715052
2006,22899545
2006,23097209
2006,23267624
2006,23975855
2006,24758345
2006,24839127
2006,24885799
2006,25226638
2006,25892856
2006,29084327
2006,29318745
2006,30286736
2006,31721969
2006,32350220
2006,33607689
2006,34164413
2006,36656858
2006,37579421
2006,37943051
2006,40437170
2006,40668025
2006,41276392
2006,41502466
2006,41536053
2006,41649681
2006,41784315
2006,41920167
2006,42340683
2006,44358894
2006,44605492
2006,44868557
2006,45499445
2006,45738563
2006,46130430
2006,46437183
2006,47101677
2006,50019627
2006,50185584
2006,51088392
2006,51950374
2006,52513335
2006,53122073
2006,53510069
2006,58035038
2006,59504494
2006,59687725
2006,60907580
2006,61767522
2006,61905574
2006,62527997
2006,64801247
2006,65413228
2006,65869484
2006,66103956
2006,67087300
2006,69723654
2006,71027503
2006,71282267
2006,72436124
2006,74281713
2006,75309823
2006,75538166
2006,75673305
2006,78722488
2006,78722800
2006,82516317
2006,84284035
2006,86747696
2006,89562206
2006,91401176
2006,94013293
2006,94676525
2006,95960487
2006,105578972
2006,108732825
2006,109892309
2006,118633483
2006,120433911
2006,123521044
2006,124208190
2006,127333183
2006,128922345
2006,129989905
2006,130293534
2006,133460806
2006,141083588
2006,142975379
2006,146382484
2006,149550563
2006,151622981
2006,153274969
2006,167591310
2006,167679639
2006,168438746
2006,171410264
2006,176253548
2006,176275488
2006,177171469
2006,177260497
2006,184833372
2006,192821178
2006,195303533
2006,196512046
2006,199434108
2006,210026294
2006,213423089
2006,221741838
2006,253499999
2006,257092531
2006,269647255
2006,282935170
2006,313518943
2006,332156039
2006,353220247
2006,415723974
2006,423020464
2006,430342088
2006,499712924
2006,621398208
2006,647969539
2006,714919257
2006,820164661
2006,1152691352
2007,48
2007,3745
2007,6310
2007,9221
2007,21433
2007,33207
2007,47169
2007,48875
2007,57786
2007,63774
2007,127388
2007,182008
2007,231526
2007,262817
2007,288852
2007,328910
2007,364500
2007,434817
2007,511133
